"id","obs_count","std","median","mean","skew","y"
1,4360,5.46941918720085,4,5.94005449591281,1.84414452879879,0
2,817,7.86007674946257,5,7.56481481481481,1.54397401936173,0
3,845,12.9732341877052,2,5.34810126582278,8.24415981350987,0
4,816,4.34377678172697,2,2.80412371134021,9.46798994533719,0
5,283,5.58152927788968,4,5.44230769230769,2.44848597042514,0
6,765,3.19309068841746,2,3.47727272727273,2.43963394627698,0
7,11738,15.3827588407299,6,11.031954887218,4.02449690024894,1
8,2702,7.88307866844732,3,6.12698412698413,3.26751781826863,0
9,698,4.8149049233946,2,3.40487804878049,9.30679606154388,0
10,1138,4.5194537349393,3,4.42801556420233,2.35055413667921,0
11,627,3.42830543021524,3,3.87037037037037,1.76445412737513,0
12,1050,7.51602657387394,3,4.95283018867925,5.87425154150829,0
13,2270,5.835747988697,3,5.45673076923077,2.30745529577844,0
14,192,3.19648375836769,2,3.49090909090909,1.88873105152344,0
15,2206,8.05804798399729,4,6.46920821114369,3.81971832688365,0
16,329,8.64994106375217,3,6.20754716981132,2.7492789739721,0
17,2250,13.0668590833458,4,8.00711743772242,9.02965181464663,0
18,2400,15.3011689491411,3,5.36912751677852,16.9529291575059,0
19,3206,9.10362741260982,4,7.47319347319347,3.21328992908542,0
20,2711,28.6022193303448,3,8.74516129032258,14.8347306098634,0
21,2068,5.15562814359295,3,4.71070615034169,3.44945170944151,0
22,2147,8.22482200401657,3,4.48225469728601,14.2679162328936,0
23,3549,5.29210607223155,3,4.64528795811518,3.95493643122558,0
24,7054,8.96418315614885,5,7.52025586353945,3.85331919928055,0
25,2824,19.6695039106636,4,7.84444444444444,13.7408682667336,0
26,380,3.05951505774177,2,3.19327731092437,3.47248178615484,0
27,1107,9.87613576976249,5,8.71653543307087,2.46587607581194,0
28,208,2.288788090401,2,2.7012987012987,2.230613616143,0
29,342,2.44466315731961,2,2.69291338582677,2.64827616494095,0
30,6685,9.22372374891317,4,7.18045112781955,7.34225537679818,0
31,1370,6.40956042372876,3,4.50657894736842,7.40133513164571,0
32,2420,6.23636870115082,4,6.18925831202046,2.70403872010944,0
33,2134,7.7457936349255,3,5.72117962466488,4.42347630537481,0
34,1172,13.4134921716729,6,10.8518518518519,2.4122777518303,0
35,3273,8.49603202698581,4,7.40497737556561,2.37128912808084,0
36,484,2.54827611928618,2,3.00621118012422,1.92509184100833,0
37,3002,6.44300021491499,3,5.55925925925926,3.83049120466784,0
38,2482,4.93136239436971,4,5.29211087420043,1.8387917216444,0
39,112,2.40617150657909,2,3.29411764705882,1.01820223750627,0
40,388,2.52267860212714,2,3.18032786885246,2.06348930283175,0
41,1031,4.27509353865475,3,3.80442804428044,4.77242877625123,0
42,757,9.00211508828008,3,5.04666666666667,6.96589639788606,0
43,2101,18.803661761383,4,8.90254237288136,6.370438551444,0
44,826,4.04952336155532,2,2.8,9.22150718672187,0
45,1996,4.70538194291177,2,3.79467680608365,6.4585907741726,0
46,1193,4.48100490874212,2,3.61515151515152,3.87051500539687,0
47,679,4.72978659413442,3,4.68275862068965,2.68331069496991,0
48,1267,5.55318030739862,2,3.94704049844237,7.47070336995625,0
49,2632,3.64728117765417,3,4.38666666666667,2.14336359360719,0
50,475,0.929834752165581,2,1.93089430894309,1.2438307726039,0
51,5484,18.7964558881083,5,9.75800711743772,6.68841903072813,0
52,2114,7.82144247669769,5,7.80073800738007,1.95512526985113,0
53,580,5.66658865083863,3,4.95726495726496,2.22368052079762,0
54,1186,4.31880107137941,3,4.14685314685315,2.34066060901387,0
55,3649,29.3113260533462,6,12.1633333333333,13.4347814653806,0
56,1188,9.7138622337799,3,7.425,2.59668092309858,0
57,1232,5.46475462400075,2,4.43165467625899,3.82522661357127,0
58,507,4.11006821797018,2,3.78358208955224,2.96063900145526,0
59,3363,52.4705782130039,3,7.67808219178082,20.5711482063314,0
60,319,3.43637046537603,3,3.93827160493827,2.03968680120837,0
61,289,3.98082734453359,2,3.70512820512821,1.91602887091221,0
62,6921,38.2974040467335,6,12.2495575221239,18.4698017912218,0
63,2078,6.60052234499196,4,5.97126436781609,2.63592146694961,0
64,10365,34.0677456189444,6,12.3099762470309,15.0784557976763,0
65,2668,6.02761859335632,3,4.60794473229706,6.00479401003894,0
66,610,5.29126268494745,2,3.42696629213483,7.43249504211072,0
67,2128,10.6529345768364,3,6.27728613569322,4.90345812732833,0
68,1175,4.6843183182315,2,3.81493506493507,5.29693425280727,0
69,6389,9.3115082327127,4,6.2392578125,13.0115490159634,0
70,996,4.05208128559855,2,3.890625,3.31891475258822,0
71,4222,8.33122705077591,4,6.51543209876543,3.82942259548808,0
72,244,2.89281205437216,3.5,4.06666666666667,1.43932854541988,0
73,10226,15.175707342932,5,9.91852570320078,5.26753561495662,0
74,443,5.49460483870674,2,4.47474747474747,2.73163243525455,0
75,4989,45.4891915481653,4,8.47028862478778,22.923096347532,0
76,1137,5.09912155471971,3,4.40697674418605,2.99024998003611,0
77,1708,12.3516786857818,4,6.77777777777778,8.1507969795814,0
78,5671,8.06867592006087,5,7.67388362652233,2.13919908246208,0
79,2061,5.3644520175151,4,5.54032258064516,2.67820564801135,0
80,705,4.93255865762396,3,4.22155688622755,3.88215854173632,0
81,201,9.65649618618961,2,4.27659574468085,5.94201664329864,0
82,1325,4.21768327538622,2,3.92011834319527,3.51910591204765,0
83,3821,11.4944191770568,5,9.27427184466019,2.92772277378407,0
84,1063,3.64882323403332,3,4.0727969348659,2.06660533118677,0
85,3099,7.00421159334482,4,6.87139689578714,2.66701417138209,0
86,237,3.05093878424572,3.5,4.08620689655172,1.32044716241588,0
87,1677,3.24189472730453,2,3.30769230769231,3.05142835325426,0
88,2117,5.21748220748552,3,4.71492204899777,3.79463255592947,0
89,3553,10.4141839273517,3,6.54327808471455,6.08951571692365,0
90,242,2.65505714615118,2,2.65934065934066,2.55120092129685,0
91,3480,6.05458008707457,3,5.23308270676692,4.96331338948667,0
92,235,3.89347289777054,4,4.89583333333333,1.93260526723231,0
93,3969,8.76092160670147,4,6.52796052631579,4.07543095315872,0
94,4017,15.6065980041571,3,5.58692628650904,21.5363525198582,0
95,4574,7.70237501307899,4,6.46045197740113,5.21272552650846,0
96,104,3.38320688030247,1,2.36363636363636,3.92142137836557,0
97,2181,4.81022426625578,3,5.13176470588235,1.82862228956084,0
98,8260,23.8810502233853,5,8.57736240913811,24.3684825442632,0
99,2127,12.8918768015049,4,5.90833333333333,14.646876236417,0
100,539,6.87353944881787,3,5.33663366336634,4.93547387050472,0
101,7408,12.8392383663183,5,8.92530120481928,7.69057346290101,0
102,1005,6.676790366588,3,5.77586206896552,2.76654823921765,0
103,2323,9.59919915353021,3,5.53095238095238,11.2887359994687,0
104,2984,13.1427942366851,5,10.1843003412969,3.06889562032202,0
105,3976,9.61865629171217,4,7.73540856031128,3.46238768681992,0
106,2035,10.014208213682,3,6.22324159021407,4.71353847467175,0
107,3633,12.77575844014,4,8.48831775700935,4.49776697573354,0
108,4079,4.93847896682118,3,4.67775229357798,3.13891820798342,0
109,1476,5.07203988863304,3,4.7459807073955,2.82204857131616,0
110,7188,14.7231008555573,4,6.87846889952153,21.8484889984894,0
111,604,3.68974499132847,2,2.96078431372549,4.39949748058224,0
112,4688,10.4593289881444,4,7.1030303030303,8.85281960760467,0
113,174,4.96117329047459,2,4.14285714285714,2.23219502597872,0
114,4225,10.9110732758293,3,6.28720238095238,7.41197960058642,0
115,2839,6.05619423220168,4,6.09227467811159,2.46272234472127,0
116,224,3.15553118336364,3,3.67213114754098,2.48420837809878,0
117,178,1.88374979815113,2,2.47222222222222,2.05345058026169,0
118,2338,8.01333145398457,3,5.71638141809291,4.54879200816546,0
119,4210,5.96306698898362,3,5.25593008739076,3.60967127410844,0
120,426,3.81160880923282,2,3.25190839694656,5.47205820703365,0
121,539,2.15722484693916,1,1.93189964157706,3.65070033464155,0
122,222,2.41028670530207,3,3.26470588235294,1.55027254971346,0
123,122,2.36397843942754,2,3.12820512820513,1.21200982414214,0
124,184,3.12052483727711,2,2.74626865671642,2.67329438701393,0
125,1284,5.47602741790188,5,6.11428571428571,2.13959645243894,0
126,2298,6.65279395743335,3,5.31944444444444,4.28632232376764,0
127,2575,6.52533867204132,3,5.18108651911469,4.27978606315671,0
128,1214,4.41698672902515,3,4.47970479704797,3.3513786802204,0
129,1238,5.81251570886795,3,5.13692946058091,2.30942559953917,0
130,2090,6.16084793400932,3,5.02403846153846,3.84010275406823,0
131,162,1.48503270295692,1,1.90588235294118,2.91252034563488,0
132,815,5.13415279254653,3,4.09547738693467,4.30975183761516,0
133,4122,7.55982233210864,4,6.60576923076923,2.73138510534525,0
134,1542,4.8536519560445,3,4.4695652173913,2.32422527050722,0
135,225,3.40542332081737,3.5,4.32692307692308,1.00334033318308,0
136,1351,4.48891402728155,3,4.05705705705706,4.74074942724944,0
137,232,4.39143373172978,2,3.68253968253968,2.55131725224101,0
138,908,2.39793508421306,2,2.75987841945289,2.36262127376134,0
139,822,3.87034267954773,2,3.23622047244094,4.44413307747505,0
140,297,7.93293518655972,2,3.3,7.90654895825803,0
141,1220,5.23967458202603,3,4.55223880597015,3.41697907262981,0
142,138,2.25160562513875,2,2.81632653061224,1.54006595850059,0
143,2054,22.2979337487213,4,13.1666666666667,3.48638414478145,1
144,1302,3.74552090497334,3,4.09433962264151,1.95605943264013,0
145,1867,5.60991252813114,3,4.95225464190981,2.63436434204641,0
146,830,4.50719338519731,3,4.46236559139785,2.32682905146496,0
147,548,4.32803146695067,2,3.55844155844156,2.69671811366515,0
148,1014,5.00019446404411,2,3.85551330798479,3.57603744442879,0
149,141,1.90040481517451,2,2.16923076923077,4.06194734174404,0
150,978,4.63779831167348,3,4.42533936651584,1.91952089343374,0
151,1470,4.89634965692488,4,5.26881720430108,2.63444938729427,0
152,2771,13.5856955618379,5.5,9.82624113475177,3.98685402919562,0
153,5246,12.7872381920469,5,8.92176870748299,4.17120694738733,0
154,333,6.50475091850445,4,6.05454545454545,2.59625139963998,0
155,2728,8.77353522887083,4,6.32946635730858,4.39889699661556,0
156,135,1.13584367105268,2,1.90140845070423,1.28178860123562,0
157,902,8.02712106213289,3,5.74522292993631,2.54759577376906,0
158,123,4.1852171724713,2,3.61764705882353,2.90043905321733,0
159,1777,10.2699450623493,3,5.73225806451613,10.7420675429902,0
160,1052,8.71257271618032,4,6.78709677419355,2.92745169764861,0
161,1521,3.89788406286301,2,3.14906832298137,3.76709552001788,0
162,983,2.69038476330679,2,3.24422442244224,2.05266554639207,0
163,1510,6.49261442356031,4,6.08870967741935,2.21132100833378,0
164,2805,4.66296873708046,3,4.61348684210526,3.25179699936997,0
165,5150,21.3754196937947,4,7.5402635431918,20.1587779045255,0
166,814,6.04871027143596,3,5.11949685534591,2.32914549901511,0
167,1516,7.08427165150509,3,4.75235109717868,10.1702107110986,0
168,5545,8.39992991053227,4,5.61803444782168,18.1821086402391,0
169,116,3.06242739317384,4,4.46153846153846,1.37118254329464,0
170,2057,7.10216079342523,4,6.08579881656805,4.34820070906077,0
171,523,8.95638466488515,3,6.08139534883721,3.26721854014172,0
172,962,7.54155082289562,4,6.41333333333333,2.56262069501619,0
173,627,3.82652000696245,2,3.19897959183673,3.65808376747926,0
174,1535,11.6306241036925,3,5.20338983050847,13.6186910919367,0
175,1949,6.35219192193235,2,4.90931989924433,4.25973725574006,0
176,518,3.9397213041394,2,3.47651006711409,4.15681094232177,0
177,1548,7.66016137898518,4,6.24193548387097,3.52186775922469,0
178,1038,4.44073811868699,3,4.80555555555556,1.9172018379529,0
179,4364,30.1334001326621,4,7.29765886287625,22.3714829255388,0
180,2183,5.60722761733377,3,4.56694560669456,4.46109459894372,0
181,1323,13.9351099329028,3,6.18224299065421,10.1122114999256,0
182,1944,5.95548233200099,4,5.73451327433628,4.50076842610033,0
183,910,8.54158423163655,4,6.94656488549618,2.8438496769337,0
184,5451,18.9810397554866,5,10.646484375,8.82018650472848,0
185,177,3.26454172961574,2,3.27777777777778,2.02021311692687,0
186,8829,17.0218814819071,5,7.77200704225352,21.7840286033559,0
187,356,5.65707720669628,2,4.74666666666667,2.12672924480683,0
188,828,6.78178444110028,4,5.91428571428571,3.40655838915209,0
189,2141,8.79445843003768,3,5.13429256594724,7.28108842565424,0
190,555,5.10123324747666,2,4.44,2.16091570840398,0
191,816,4.7551112777426,3,4.29473684210526,4.71618269112043,0
192,136,2.95572774974493,1,2.72,2.31558360646457,0
193,4123,8.94556687469747,4,6.97631133671743,7.92183223980213,0
194,282,7.92451187052702,3,5.42307692307692,3.25661029692798,0
195,413,3.50297492616395,2,3.6875,1.71259763132978,0
196,390,2.97458890165654,2,3.046875,2.35352145528376,0
197,369,3.14202688115224,2,3.44859813084112,2.39263705469409,0
198,576,2.96224055571921,2,3,3.31813597181711,0
199,147,2.26192534219254,2,2.49152542372881,2.47726980362506,0
200,816,10.1412613187244,3,6.13533834586466,6.14372385354898,0
201,756,6.77279274598519,2.5,5.64179104477612,2.57093581301656,0
202,1135,4.3653546411292,3,4.02482269503546,3.03896784326637,0
203,2108,7.50003017534392,2,4.63296703296703,7.43345076502559,0
204,501,4.96944952398438,3,3.97619047619048,5.42229404746494,0
205,1144,7.36988516689859,2,4.08571428571429,8.88192584286485,0
206,578,4.52557034078119,2,3.90540540540541,4.30555208776354,0
207,2162,5.59066584775161,3,4.60980810234542,4.01840274515538,0
208,1638,3.56845601736576,2,3.68918918918919,2.39435085662889,0
209,3025,10.9242793708388,5,8.4733893557423,3.51620028042769,0
210,146,4.7988093761444,2,4.17142857142857,2.39290080098762,0
211,1030,10.3861220552404,4,7.35714285714286,3.93766633892518,0
212,2357,8.25381227109327,4,7.16413373860182,2.08009859820798,0
213,3282,7.62599782579543,4,6.23954372623574,8.39652256282356,0
214,528,11.7398356122038,3,5.55789473684211,8.36475976011353,0
215,1030,7.91588067783913,2,5.02439024390244,5.12398101762974,0
216,216,1.32105752806273,1,1.81512605042017,1.96266279669173,0
217,821,5.12122606967131,3,5.00609756097561,2.11968615726214,0
218,656,12.1603416142266,4,6.90526315789474,5.386661392422,0
219,1328,5.23203300959466,3,4.7942238267148,3.65104074514383,0
220,350,4.8324023710838,3,4.92957746478873,1.86307376371708,0
221,1565,12.1493426850502,5,8.5054347826087,3.60150907202393,0
222,7859,12.5381684434014,5,9.81148564294632,3.75702691392522,0
223,2544,51.5498996784935,3.5,9.9375,15.4545046973577,0
224,2012,31.9844938360095,2,5.66760563380282,18.3234274702011,0
225,4032,9.59671072268994,4,5.64705882352941,12.9121821293301,0
226,1255,4.6205019016867,3,4.56363636363636,2.36386761015872,0
227,439,3.01979444925618,3,3.85087719298246,1.28757565853529,0
228,1999,5.68192118679154,3,4.55353075170843,4.62514385473529,0
229,1218,3.22922761483954,2,3.57184750733138,2.30844282460029,0
230,1277,8.47851695667753,3,5.91203703703704,6.58665103880323,0
231,448,3.09465489011116,2,3.55555555555556,1.64988228201601,0
232,1032,4.32490685184183,3,4.14457831325301,3.03223919234632,0
233,4581,20.0497268259101,6,12.0236220472441,5.03514644730807,0
234,431,2.31282931850029,2,2.47701149425287,2.77628999610836,0
235,1032,3.69887553009422,3,3.63380281690141,3.79045561931615,0
236,2930,11.4308256464797,4,6.05371900826446,16.8155206383504,0
237,551,4.02180048701424,2,3.29940119760479,4.40194619005024,0
238,2173,13.3260245131688,4,7.95970695970696,5.2229519174833,0
239,1297,20.5356275437804,2,5.38174273858921,14.0451068016263,0
240,130,6.3618320006065,2,4.48275862068965,3.07339321163323,0
241,1563,5.15854465063509,3,5.15841584158416,2.12380456588668,0
242,2670,3.98250653373305,3,4.28571428571429,2.88876988352642,0
243,2883,23.1320274458863,4,6.96376811594203,18.107805099763,0
244,695,5.06648068974122,3,5.11029411764706,2.63474322432431,0
245,158,3.37910544023834,3,4.05128205128205,1.38982499413769,0
246,1342,4.93042624831092,3,4.45847176079734,3.42579799563788,0
247,497,6.53106038439681,3,5.58426966292135,2.04934294974002,0
248,1012,4.48152525681279,2,3.953125,3.8512273057992,0
249,175,2.69076390701097,2,2.96610169491525,2.32376782909069,0
250,452,1.52582255596987,2,2.36649214659686,1.21317807620144,0
251,128,3.30343093941428,3,3.76470588235294,1.6618143160438,0
252,942,5.76280901100127,3,4.75757575757576,5.03330793833633,0
253,2497,4.39324887771087,3,4.45892857142857,3.24966237830141,0
254,2375,16.3708711719798,5,9.09961685823755,8.03874993202344,1
255,5851,50.3244992778453,5,10.8552875695733,21.8272882976259,0
256,1050,3.28576762381366,2,3.40909090909091,3.09572667206761,0
257,2515,6.04444698550015,3,5.11178861788618,3.39629018661681,0
258,16930,74.1111350006555,8,13.5548438751001,33.9643717761545,0
259,965,5.15179643860256,3,4.57345971563981,2.0955140388556,0
260,1182,15.7205396323237,2,4.76612903225806,14.5815549119637,0
261,366,2.481073790867,2,2.47297297297297,2.81220556085723,0
262,7987,25.9470706406691,5,11.3937232524964,15.8742335188984,0
263,937,3.11333448714405,3,3.67450980392157,1.84643014455931,0
264,2466,8.08122171876388,5,7.38323353293413,2.64387156012896,0
265,4308,13.0857443672588,5,9.85812356979405,3.25453000123565,0
266,4764,9.4817391268099,5,9.00567107750473,1.9458942396514,0
267,559,2.36478889731291,2,2.58796296296296,2.80600860023715,0
268,10035,14.3302291537113,6,10.6415694591729,4.49955514223097,0
269,6577,12.1435205620838,4,8.37834394904459,4.43147724896883,0
270,561,2.28118544971898,3,3.22413793103448,2.26777209851736,0
271,1895,5.67830439326965,3,4.79746835443038,3.8568346613072,0
272,540,2.09613275964129,2,2.34782608695652,3.77876837674033,0
273,1805,7.23808458488007,3,4.54659949622166,8.05526720315854,0
274,136,3.87883721639108,2,3.88571428571429,2.01914688293918,0
275,8436,22.6034696628116,5,9.64114285714286,20.7507132212381,1
276,1239,7.78273194763527,4,6.6972972972973,2.16397932467357,0
277,409,1.64528178570567,2,2.0974358974359,2.46658487153274,0
278,1103,4.15705799208433,2,3.85664335664336,4.13853886508969,0
279,2485,3.42944626850678,2,3.52482269503546,3.43941579310976,0
280,1969,13.8516705180681,4,8.37872340425532,4.48138121778216,0
281,1846,9.21875184209452,5,7.92274678111588,2.74583355810379,0
282,1551,5.29982145831294,4,5.85283018867925,1.71268435964714,0
283,109,1.63786711782494,2,2.3695652173913,1.68588723720168,0
284,485,3.14117029838576,2,3.25503355704698,2.30123288094607,0
285,584,2.16087329783209,2,2.61883408071749,1.96889577759192,0
286,137,3.09579947008432,2.5,3.425,1.9588953034735,0
287,1432,4.47968488167072,3,4.36585365853659,2.41646695153531,0
288,2321,6.81825739902985,4,5.61985472154964,4.26446218348843,0
289,686,4.12901402259145,4,4.76388888888889,2.54012117212046,0
290,413,3.05775904068277,3,4.30208333333333,1.39028823879496,0
291,793,3.13070192084272,2,3.01520912547529,4.34839039801905,0
292,1619,7.9613820246611,2,5.70070422535211,3.57567765174936,0
293,202,2.07307247812541,2.5,2.97058823529412,1.78023502079486,0
294,2691,6.48591497480821,3,5.06779661016949,4.47023619101191,0
295,915,2.9721785502631,2,2.92332268370607,4.17277882137447,0
296,547,4.56142638755222,3,4.44715447154472,3.30739502647837,0
297,696,9.83978091805941,3,8.18823529411765,1.4395848617646,0
298,4422,10.2392476676799,3,5.96761133603239,8.9006134149785,0
299,840,7.02288016817821,4,6.13138686131387,3.3158632962739,0
300,2178,11.7720591452056,4,7.61538461538461,4.08042377172067,0
301,1923,9.72494124981422,3,6.30491803278689,7.43132318828008,0
302,166,7.03928227993531,2,3.86046511627907,5.75332280970019,0
303,1130,12.7842029283504,3,7.38562091503268,4.66806980625105,0
304,1494,5.24389387859182,3,5.11643835616438,2.80613952507502,0
305,208,1.79606753376887,2,2.08,3.13331941027075,0
306,1453,4.69699170373709,4,5.02768166089965,2.50963513756618,0
307,3250,8.64743268808286,3,6.43564356435644,4.50604562137195,0
308,154,3.83096965563752,2,3.34782608695652,2.13334686916316,0
309,1098,10.981690181717,4,6.53571428571429,6.35118763142729,0
310,527,3.16391572174426,2,2.73056994818653,4.1035743057227,0
311,257,6.29390340831666,2,3.29487179487179,7.44286619416094,0
312,727,3.75109023564135,3,3.97267759562842,2.02534659205448,0
313,1649,5.78362908981074,4,5.47840531561462,3.07734745647609,0
314,1646,3.06113725103833,2,3.22745098039216,2.38912052789403,0
315,3839,9.2112753424856,3,6.37707641196013,3.84110011088495,0
316,3173,12.458416492521,4,9.22383720930233,2.52853514808218,0
317,3227,20.5382426000952,4,9.11581920903955,7.47178884731141,0
318,1645,5.7957461707715,3,5.12461059190031,3.6638272145379,0
319,1962,46.1535845722412,2,7.23985239852399,15.9434423012034,0
320,392,6.32596316066327,2,3.66355140186916,5.74475880880815,0
321,3147,7.30269165411968,3,5.71143375680581,4.86223792284307,0
322,351,2.39152733312304,2,2.6,1.81331144821872,0
323,110,1.37436854187255,2,2.44444444444444,1.00078746905926,0
324,3716,132.167046807023,4,14.1292775665399,16.1632005556427,0
325,2012,4.18719131945939,3,4.47111111111111,1.95696636411302,0
326,1864,5.02953811756115,3,4.70707070707071,4.54928609755123,0
327,1569,5.53352028881962,4,5.8984962406015,2.25784987236311,0
328,3304,10.0781227563041,4,7.96144578313253,3.63023222155183,0
